time,total,free,cache,buffer,used
2019-07-21 00:40:23.135000+00:00,9428135936,5378306048,3194384384,294727680,5.9472819209042
2019-07-21 00:40:28.135000+00:00,9428135936,5369155584,3194552320,294727680,6.04255555782432
2019-07-21 00:40:33.135000+00:00,9428135936,5367345152,3194589184,294727680,6.0613669963954155
2019-07-21 00:40:38.135000+00:00,9428135936,5362999296,3194630144,294731776,6.10698364881955
2019-07-21 00:40:43.135000+00:00,9428135936,5357985792,3194662912,294731776,6.159812076769785
2019-07-21 00:40:48.135000+00:00,9428135936,5359218688,3194699776,294731776,6.146344303196946
2019-07-21 00:40:53.135000+00:00,9428135936,5357010944,3194732544,294731776,6.169413295994293
2019-07-21 00:40:58.135000+00:00,9428135936,5356449792,3194769408,294731776,6.17497418314695
2019-07-21 00:41:03.135000+00:00,9428135936,5354827776,3194802176,294731776,6.191830622328439
2019-07-21 00:41:08.135000+00:00,9428135936,5352669184,3194839040,294731776,6.214334837524345
2019-07-21 00:41:13.135000+00:00,9428135936,5351493632,3194871808,294731776,6.226455833739901
2019-07-21 00:41:18.135000+00:00,9428135936,5351096320,3194908672,294731776,6.230278943657352
2019-07-21 00:41:23.135000+00:00,9428135936,5351227392,3194941440,294731776,6.228541166422147
2019-07-21 00:41:28.135000+00:00,9428135936,5350973440,3194978304,294731776,6.230843721258793
2019-07-21 00:41:33.135000+00:00,9428135936,5297971200,3222388736,294731776,6.502284525397832
2019-07-21 00:41:38.135000+00:00,9428135936,4975976448,3488878592,294731776,7.091000008254442
2019-07-21 00:41:43.135000+00:00,9428135936,4902047744,3563982848,294739968,7.078444567730085
2019-07-21 00:41:48.135000+00:00,9428135936,4893782016,3564027904,294739968,7.165637540506502
2019-07-21 00:41:53.135000+00:00,9428135936,4897845248,3564064768,294739968,7.122149665195493
2019-07-21 00:41:58.135000+00:00,9428135936,4887973888,3564105728,294739968,7.2264162993078
2019-07-21 00:42:03.135000+00:00,9428135936,4876607488,3564142592,294739968,7.346583595122233
2019-07-21 00:42:08.135000+00:00,9428135936,4864204800,3564183552,294739968,7.477698887518458
2019-07-21 00:42:13.135000+00:00,9428135936,4851994624,3564216320,294739968,7.6068591805250785
2019-07-21 00:42:18.135000+00:00,9428135936,4891668480,3564257280,294739968,7.185621978711359
2019-07-21 00:42:23.135000+00:00,9428135936,4879921152,3564290048,294739968,7.309873051028524
2019-07-21 00:42:28.135000+00:00,9428135936,4867858432,3564335104,294739968,7.43733901123082
2019-07-21 00:42:33.135000+00:00,9428135936,4856176640,3564371968,294739968,7.560851528223022
2019-07-21 00:42:38.135000+00:00,9428135936,4891848704,3564408832,294739968,7.182102979810069
2019-07-21 00:42:43.135000+00:00,9428135936,4881158144,3564445696,294739968,7.295101944529282
2019-07-21 00:42:48.135000+00:00,9428135936,4869713920,3564486656,294739968,7.416051240099557
2019-07-21 00:42:53.135000+00:00,9428135936,4859514880,3564523520,294739968,7.523836873113154
2019-07-21 00:42:58.135000+00:00,9428135936,4850974720,3564564480,294739968,7.61398406718942
2019-07-21 00:43:03.135000+00:00,9428135936,4887027712,3564597248,294739968,7.2312386311354935
2019-07-21 00:43:08.135000+00:00,9428135936,4875472896,3564638208,294739968,7.353360926339533
2019-07-21 00:43:13.135000+00:00,9428135936,4864266240,3564679168,294739968,7.471790444918761
2019-07-21 00:43:18.135000+00:00,9428135936,4853854208,3564716032,294739968,7.5818351883381245
2019-07-21 00:43:23.135000+00:00,9428135936,4844187648,3564752896,294739968,7.6839730453373045
2019-07-21 00:43:28.135000+00:00,9428135936,4881231872,3564789760,294739968,7.290670612579508
2019-07-21 00:43:33.135000+00:00,9428135936,4869693440,3564826624,294739968,7.4126625744909065
2019-07-21 00:43:38.135000+00:00,9428135936,4857630720,3564871680,294739968,7.540128534693203
2019-07-21 00:43:43.135000+00:00,9428135936,4845568000,3564904448,294739968,7.6677248281881365
2019-07-21 00:43:48.135000+00:00,9428135936,4882382848,3564945408,294739968,7.276811839128748
2019-07-21 00:43:53.135000+00:00,9428135936,4873850880,3564982272,294739968,7.366915588774132
2019-07-21 00:43:58.135000+00:00,9428135936,4863819776,3565023232,294739968,7.472876555690765
2019-07-21 00:44:03.135000+00:00,9428135936,4848525312,3565060096,294739968,7.63470706071924
2019-07-21 00:44:08.135000+00:00,9428135936,4836556800,3565096960,294739968,7.761260687873052
2019-07-21 00:44:13.135000+00:00,9428135936,4871823360,3565133824,294739968,7.3868131381172315
2019-07-21 00:44:18.135000+00:00,9428135936,4860776448,3565174784,294739968,7.503548323892134
2019-07-21 00:44:23.135000+00:00,9428135936,4849729536,3565207552,294739968,7.620370398528797
2019-07-21 00:44:28.135000+00:00,9428135936,4839698432,3565252608,294739968,7.726287921014549
2019-07-21 00:44:33.135000+00:00,9428135936,4870868992,3565285376,294739968,7.395328246569736
2019-07-21 00:44:38.135000+00:00,9428135936,4862869504,3565326336,294739968,7.479740775769825
2019-07-21 00:44:43.135000+00:00,9428135936,4854489088,3565363200,294739968,7.568237081472645
2019-07-21 00:44:48.135000+00:00,9428135936,4845219840,3565404160,294739968,7.666117384245573
2019-07-21 00:44:53.135000+00:00,9428135936,4834775040,3565441024,294739968,7.776509683111977
2019-07-21 00:44:58.135000+00:00,9428135936,4867985408,3565481984,294739968,7.4238277932271
2019-07-21 00:45:03.135000+00:00,9428135936,4857470976,3565514752,294739968,7.535002091849346
2019-07-21 00:45:08.135000+00:00,9428135936,4848836608,3565555712,294739968,7.626148507835855
2019-07-21 00:45:13.135000+00:00,9428135936,4839350272,3565588480,294739968,7.726418254307189
2019-07-21 00:45:18.135000+00:00,9428135936,4829573120,3565633536,294739968,7.829642222078373
2019-07-21 00:45:23.135000+00:00,9428135936,4863094784,3565670400,294739968,7.473701999877487
2019-07-21 00:45:28.135000+00:00,9428135936,4853571584,3565707264,294739968,7.574319301795862
2019-07-21 00:45:33.135000+00:00,9428135936,4844744704,3565744128,294739968,7.667551050464616
2019-07-21 00:45:38.135000+00:00,9428135936,4835221504,3565785088,294739968,7.768124907952112
2019-07-21 00:45:43.135000+00:00,9428135936,4874330112,3565821952,294739968,7.352926482030732
2019-07-21 00:45:48.135000+00:00,9428135936,4862869504,3565862912,294739968,7.474049555324528
2019-07-21 00:45:53.135000+00:00,9428135936,4851027968,3565895680,294739968,7.599299849551936
2019-07-21 00:45:58.135000+00:00,9428135936,4840108032,3565940736,294739968,7.714644813538675
2019-07-21 00:46:03.135000+00:00,9428135936,4831600640,3565977600,294739968,7.804487896598779
2019-07-21 00:46:08.135000+00:00,9428135936,4869693440,3566014464,294739968,7.40006368953567
2019-07-21 00:46:13.135000+00:00,9428135936,4859375616,3566051328,294739968,7.509109211044791
2019-07-21 00:46:18.135000+00:00,9428135936,4847820800,3566088192,294739968,7.63127495067971
2019-07-21 00:46:23.135000+00:00,9428135936,4837859328,3566125056,294739968,7.736540806702259
